"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00974",-1.36437179882031,0.213431256201438,-42.4754994588128,2.67000208984623e-187,3.78499496256602e-183,416.76889658773
"AC007182.1",-2.05893977066925,0.442393630008704,-33.145910691801,2.35656685659575e-140,1.67033458795507e-136,309.634316230419
"LINC00682",-0.473908285632019,0.062852960933601,-31.470637523686,1.74901438019935e-131,8.26467595123532e-128,289.35876366574
"AC005358.1",-0.688673021677142,0.123428777037487,-31.16129946306,7.81260982290428e-130,2.76878892123728e-126,285.586408263753
"LINC00507",-0.565794562778568,0.0890833831135133,-30.7959212207051,7.01812102902724e-128,1.9897776741498e-124,281.120001455749
"CDKN2B-AS1",-3.9502934065115,1.09675362340428,-30.2810449329163,4.04422878091291e-125,9.55516453303691e-122,274.807374281974
"AC073283.2",-1.81721903022448,0.468649653618814,-28.7911348750204,4.38931706857384e-117,8.88899410915753e-114,256.42878288883
"AC087379.1",-3.51376036327501,1.05103569239383,-28.2236903595605,5.23347882916313e-114,9.27372448527707e-111,249.391172408951
"LINC02023",-1.66542144124023,0.371309054454069,-27.7694658989743,1.53698747710257e-111,2.42092605282289e-108,243.745087614396
"LINC02000",-1.24018175851905,0.303736906650942,-26.5634914353125,5.71871432610899e-105,8.10684942869211e-102,228.710545651043
"AC092652.1",-0.971620218325046,0.142700854530283,-25.7493283253305,1.59842013683357e-100,2.05992762361389e-97,218.535026008865
"LINC02490",-1.9339800833704,0.355555203808368,-25.2214484092107,1.22715243014344e-97,1.44967607080945e-94,211.931681160498
"LINC01645",-1.94715594717498,0.557968475062326,-24.4940509278528,1.16137988533939e-93,1.26644009650548e-90,202.831022550268
"AC004947.1",-0.567643003713118,0.144592909556467,-24.1703324561074,6.82062699699976e-92,6.9063720221049e-89,198.782166205343
"AC026391.1",-0.775860256595312,0.111460670486654,-24.1413894576249,9.81605726945161e-92,9.27682852344974e-89,198.420243843417
"LINC00092",-0.820300527395918,0.346985187295155,-23.9085098466468,1.83595082902808e-90,1.62665243451888e-87,195.508759000466
"CA3-AS1",-1.85486938178623,0.777763922926061,-23.8205332003049,5.54909140979247e-90,4.62728940148341e-87,194.409179025397
"PGM5-AS1",-2.68997799643882,0.565637881237615,-23.7414369429831,1.49975102492078e-89,1.11897213311984e-86,193.420757817319
"TMEM220-AS1",-1.52803116901948,0.848340568286957,-23.624602679146,6.51165307213076e-89,4.61545969752628e-86,191.961060352297
"AC025470.2",-0.485667461630266,0.0739673252537621,-23.1397897886129,2.8682078832486e-86,1.93617690252058e-83,185.908725496149
"AL121790.2",-2.56682169405218,0.87939211535918,-23.1338200943171,3.09130283967737e-86,1.99192313887574e-83,185.834256046069
"MAFG-DT",2.32419536362922,3.16552701021056,22.7889466627613,2.33493560162366e-84,1.43913248211378e-81,181.53481042462
"AC015908.3",-1.35140482620062,0.571661523243442,-22.6292977960051,1.72514459400134e-83,1.01898540685679e-80,179.546487951837
"AC016027.1",-1.61932748160685,1.69749597927353,-22.1998690743402,3.71438508816875e-81,2.10620492039521e-78,174.205480029105
"LINC01985",-0.746537214155477,0.167717503237624,-21.7984744740946,5.56908867564634e-79,3.03643850253702e-76,169.224199474393
"HAND2-AS1",-1.87225595241248,0.429801547543556,-21.48448052443,2.78038513524782e-77,1.45980517323234e-74,165.336209607587
"PVT1",2.07003088303579,2.94329385292229,21.4571976127073,3.90391519028054e-77,1.97649649062203e-74,164.99877468477
"AC073050.1",-1.31247922322889,0.405663621205602,-21.3477409816856,1.52246606680849e-76,7.44223412519901e-74,163.645679499826
"EPCAM-DT",-1.43913444897973,0.948703722579181,-21.3216383570051,2.10585048628512e-76,9.95084549785929e-74,163.323160533379
"SNHG15",1.78107261634374,4.46038317626399,20.9598072480151,1.87656382244717e-74,8.58134475710035e-72,158.85914103937
"AC123912.4",-1.43859087415297,0.344137324250168,-20.8637442438235,6.16724486906535e-74,2.73208947699595e-71,157.676190687179
"AC004147.4",-0.802718954259048,0.149566243713632,-20.8517005408916,7.15887881500977e-74,3.07528079035086e-71,157.527949249345
"AL353801.1",-1.18031986923786,0.348104955507873,-20.7397436637562,2.86064193606436e-73,1.19271941428377e-70,156.150660944212
"LINC02185",-0.578265654013792,0.160760667815585,-20.2680523914627,9.6457879027985e-71,3.90681969457347e-68,150.363633985016
"AC092723.1",-2.34802535465078,1.08332533563444,-20.0510583308632,1.39076282992697e-69,5.32850104784994e-67,147.71058199006
"AC020978.4",-1.92731394688386,1.31475640888943,-19.9419342596004,5.30933716527217e-69,1.98066220144469e-66,146.378734350995
"AL132642.1",-1.37577213892714,0.424736236744518,-19.7087969869078,9.238454289708e-68,3.3580596925872e-65,143.538832783667
"AL357054.4",-1.40491093504487,0.821023086513937,-19.6899765852426,1.16305132800577e-67,4.12185390645245e-65,143.309914566408
"AC092834.1",-2.0218477020618,0.561483574459718,-19.4628500019592,1.8646981424735e-66,6.44730752870838e-64,140.551441083532
"AC093607.1",-0.951272934313122,0.227509298661903,-19.4217919327411,3.07665060464069e-66,1.03844283265206e-63,140.053621085252
"AC021491.4",-0.605668347688085,0.283184700053142,-19.3134222830001,1.15219104400777e-65,3.79847912554749e-63,138.740926446755
"AC135012.3",-0.822139924838715,0.408859817537144,-19.0723637726257,2.15856877537259e-64,6.95451612720043e-62,135.827728238349
"MIR497HG",-0.778105858794433,0.380030656816611,-19.0637309456366,2.39698159191366e-64,7.55102467710402e-62,135.723578376834
"AC110995.1",-1.0168345415791,0.380753072904052,-18.822366352612,4.46191253141735e-63,1.37504504446462e-60,132.816829723728
"AP001554.1",-2.47841612172099,1.19613473644217,-18.6840121477752,2.37365017757074e-62,7.1593329611155e-60,131.155263361227
"LINC02829",-0.886955069847411,0.243947977416277,-18.5982281682854,6.67937411544633e-62,1.93238382572586e-59,130.126791632581
"SEMA6A-AS2",-0.906422141264148,0.350849124133926,-18.4121640333902,6.26970178813853e-61,1.77758585097304e-58,127.90079558158
"AC020779.2",-1.35291557227756,0.590134006924575,-18.1874172722752,9.29098779985487e-60,2.58253025589691e-57,125.220975923038
"MEF2C-AS1",-0.434458051037445,0.124662026078322,-18.1397243465581,1.64419893486253e-59,4.48233925011754e-57,124.653598875973
"AF111167.2",-0.713542829683364,0.602572143483075,-18.1374718031332,1.6891078994947e-59,4.5178855817428e-57,124.626813048187
"AP001330.1",-0.283702459079654,0.0491869377795077,-17.8832159879559,3.51318326600985e-58,9.22275666276957e-56,121.61014561807
