Set	Class	Sub_Class	Count	LncRNA	Simpson	P-value	FDR	Bonferroni	Jaccard	%	Input_number
cell growth	Cancer_Hallmark	LncACTdb	144	PVT1;SNHG15;ELFN1-AS1;SNHG17;SNHG1;SNHG16;MIR4435-2HG;VPS9D1-AS1;CASC19;ZFAS1;MNX1-AS1;FOXP4-AS1;DLGAP1-AS2;CRNDE;SNHG12;LINC01605;SNHG6;SNHG11;SNHG20;SNHG3;CYTOR;LINC02418;SNHG4;SNHG7;LINC02163;GAS5;SLCO4A1-AS1;TRPM2-AS;DDX11-AS1;LINC00963;BBOX1-AS1;MINCR;MIR17HG;GAS6-AS1;LINC00346;LINC00858;LINC02595;LINC00460;SLC16A1-AS1;SNHG8;GATA2-AS1;RHPN1-AS1;RUSC1-AS1;OGFRP1;UCA1;PCAT6;FEZF1-AS1;PRRT3-AS1;MIR503HG;HCG18;LINC00265;LINC00174;AL161431.1;PAXIP1-AS1;MATN1-AS1;MCM3AP-AS1;NORAD;AGAP2-AS1;ASMTL-AS1;LINC-PINT;LINC00115;TMPO-AS1;PCAT1;DICER1-AS1;NKILA;TFAP2A-AS1;DLEU2;DLGAP1-AS1;THAP9-AS1;LINC00628;LINC01614;H19;LINC00525;DANCR;GAPLINC;AFDN-DT;LINC01234;LINC00365;JPX;HCG15;FAM201A;LINC01355;KTN1-AS1;LINC00449;PXN-AS1;FBXL19-AS1;PROX1-AS1;MALAT1;ZEB1-AS1;LINC00467;TUSC8;LINC01123;CASC15;LINC01503;TPT1-AS1;LINC00114;FALEC;LINC01006;ASB16-AS1;DUXAP8;DLEU1;LINC00857;LUCAT1;PCAT7;LINC00662;IGFL2-AS1;GAS8-AS1;SLC2A1-AS1;SOX9-AS1;ELF3-AS1;APTR;SNHG5;UBE2R2-AS1;TONSL-AS1;CASC9;DLX6-AS1;PURPL;PRKCQ-AS1;NBR2;LINC01089;HULC;MIR31HG;ZFPM2-AS1;CCAT2;NNT-AS1;IRAIN;SAMD12-AS1;SNHG9;LINC00173;DIO3OS;FTX;TNRC6C-AS1;LINC00511;AFAP1-AS1;UNC5B-AS1;LINC01410;LINC00958;NEAT1;LINC01094;HOTAIR;POU6F2-AS2;FOXC2-AS1;LINC01980;DCST1-AS1	0.243	2.6e-93	2.08e-92	2.08e-92	0.0713	144/592	1572
metastasis	Cancer_Hallmark	LncACTdb	149	PVT1;SNHG15;ELFN1-AS1;SNHG17;SNHG1;SNHG16;MIR4435-2HG;VPS9D1-AS1;CASC19;ZFAS1;MNX1-AS1;FOXP4-AS1;DLGAP1-AS2;CRNDE;SNHG12;LINC01605;SNHG6;SNHG11;SNHG20;SNHG3;CYTOR;SNHG4;SNHG7;LINC02163;AC007128.1;GAS5;LINC01569;SLCO4A1-AS1;TRPM2-AS;DDX11-AS1;LINC00963;MINCR;MIR17HG;GAS6-AS1;LINC00346;LINC00858;LINC02595;LINC00460;SH3PXD2A-AS1;SNHG8;RHPN1-AS1;SNHG10;RUSC1-AS1;OGFRP1;UCA1;LINC01124;PCAT6;FEZF1-AS1;MIR503HG;HCG18;LINC00265;LINC00174;PAXIP1-AS1;MCM3AP-AS1;LINC01555;CASC8;NORAD;AGAP2-AS1;LINC-PINT;LINC00115;TMPO-AS1;PCAT1;DICER1-AS1;NKILA;TFAP2A-AS1;DLEU2;DLGAP1-AS1;LINC00628;LINC01614;H19;LINC00525;DANCR;GAPLINC;AFDN-DT;LINC01234;JPX;FAM201A;KTN1-AS1;LINC00449;PXN-AS1;FBXL19-AS1;LINC00941;PROX1-AS1;SYNPR-AS1;MAPKAPK5-AS1;MALAT1;ZEB1-AS1;LINC00467;TUSC8;WASIR2;LINC01123;CASC15;C10orf91;LINC01503;TPT1-AS1;LINC00114;FALEC;KRT7-AS;TSPEAR-AS1;LINC01006;ASB16-AS1;DUXAP8;LINC01426;DLEU1;LINC00857;LUCAT1;SNHG22;PCAT7;LINC00662;IGFL2-AS1;MED4-AS1;SLC2A1-AS1;SOX9-AS1;ELF3-AS1;SNHG5;TONSL-AS1;CASC9;AATBC;DLX6-AS1;PURPL;LINC00997;NBR2;LINC01089;HULC;MIR31HG;LINC00342;ZFPM2-AS1;CCAT2;NNT-AS1;IRAIN;MYLK-AS1;SAMD12-AS1;MRPL23-AS1;SNHG9;LINC00173;ZNF674-AS1;FTX;TNRC6C-AS1;LINC00511;AFAP1-AS1;UNC5B-AS1;LINC01410;LINC00958;NEAT1;LINC01094;HOTAIR;LINC00649;LINC01980;DCST1-AS1	0.221	2.66e-90	1.06e-89	2.13e-89	0.0711	149/673	1572
apoptosis	Cancer_Hallmark	LncACTdb	134	PVT1;SNHG15;ELFN1-AS1;SNHG17;SNHG1;SNHG16;MIR4435-2HG;VPS9D1-AS1;CASC19;ZFAS1;MNX1-AS1;FOXP4-AS1;DLGAP1-AS2;CRNDE;SNHG12;SNHG6;SNHG11;SNHG20;SNHG3;CYTOR;LINC02418;SNHG4;SNHG7;LINC02163;AC007128.1;GAS5;SLCO4A1-AS1;TRPM2-AS;DDX11-AS1;LINC00963;BBOX1-AS1;MINCR;MIR17HG;GAS6-AS1;LINC00346;LINC00858;LINC02595;LINC00460;SLC16A1-AS1;SNHG8;RHPN1-AS1;SNHG10;RUSC1-AS1;OGFRP1;UCA1;PCAT6;FEZF1-AS1;PRRT3-AS1;MIR503HG;HCG18;LINC00265;LINC00174;PAXIP1-AS1;MATN1-AS1;MCM3AP-AS1;CASC8;NORAD;AGAP2-AS1;LINC01433;LINC-PINT;LINC00115;TMPO-AS1;PCAT1;NKILA;TFAP2A-AS1;DLEU2;DLGAP1-AS1;LINC00628;H19;LINC00525;DANCR;GAPLINC;LINC01234;LINC00630;LINC00365;JPX;FAM201A;KTN1-AS1;LINC00449;PXN-AS1;FBXL19-AS1;MAPKAPK5-AS1;MALAT1;ZEB1-AS1;LINC00467;LINC00239;WASIR2;CASC15;C10orf91;LINC01503;TPT1-AS1;LINC00114;FALEC;TSPEAR-AS1;LINC01006;ASB16-AS1;DUXAP8;LINC01426;DLEU1;LINC00857;LUCAT1;PCAT7;LINC00662;IGFL2-AS1;GAS8-AS1;APTR;SNHG5;UBE2R2-AS1;CASC9;DLX6-AS1;PURPL;LINC01089;HULC;MIR31HG;LINC00342;ZFPM2-AS1;CCAT2;NNT-AS1;IRAIN;SNHG9;FTX;TNRC6C-AS1;LINC00511;AFAP1-AS1;UNC5B-AS1;LINC01410;LINC00958;NEAT1;HOTAIR;POU6F2-AS2;FOXC2-AS1;LINC00649;LINC01980;DCST1-AS1	0.222	2.2e-81	5.87e-81	1.76e-80	0.0657	134/603	1572
EMT	Cancer_Hallmark	LncACTdb	100	PVT1;SNHG15;ELFN1-AS1;SNHG1;SNHG16;MIR4435-2HG;CASC19;ZFAS1;MNX1-AS1;CRNDE;SNHG12;LINC01605;SNHG6;SNHG11;SNHG20;SNHG3;CYTOR;SNHG4;SNHG7;LINC02163;GAS5;SLCO4A1-AS1;DDX11-AS1;LINC00963;MINCR;LINC00858;LINC00460;RHPN1-AS1;SNHG10;OGFRP1;UCA1;PCAT6;FEZF1-AS1;MIR503HG;HCG18;PAXIP1-AS1;LINC01555;NORAD;AGAP2-AS1;LINC-PINT;EPB41L4A-AS1;LINC00115;TMPO-AS1;PCAT1;NKILA;DLEU2;DLGAP1-AS1;LINC00628;H19;DANCR;GAPLINC;LINC01234;JPX;FAM201A;KTN1-AS1;FBXL19-AS1;LINC00941;PROX1-AS1;MALAT1;ZEB1-AS1;LINC00467;TUSC8;CASC15;LINC01503;TPT1-AS1;FALEC;LINC01006;ASB16-AS1;DUXAP8;LINC01426;DLEU1;LINC00857;LUCAT1;PCAT7;LINC00662;GAS8-AS1;SOX9-AS1;SNHG5;LINC01816;CASC9;AATBC;DLX6-AS1;NBR2;LINC01089;HULC;MIR31HG;ZFPM2-AS1;CCAT2;NNT-AS1;MRPL23-AS1;FTX;LINC00511;AFAP1-AS1;LINC01410;LINC00958;NEAT1;LINC01094;HOTAIR;LINC01980;DCST1-AS1	0.295	8.84e-74	1.77e-73	7.07e-73	0.0552	100/339	1572
circulating-new	Cancer_Hallmark	LncACTdb	73	PVT1;SNHG15;SNHG17;SNHG1;SNHG16;MIR4435-2HG;ZFAS1;MNX1-AS1;CRNDE;SNHG12;SNHG6;SNHG11;SNHG20;SNHG3;SNHG7;GAS5;SLCO4A1-AS1;TRPM2-AS;LINC00963;GAS6-AS1;LINC00346;LINC02595;LINC00460;RHPN1-AS1;UCA1;PCAT6;FEZF1-AS1;MIR503HG;LINC00265;SLC9A3-AS1;MCM3AP-AS1;NORAD;AGAP2-AS1;LINC-PINT;PCAT1;NKILA;TFAP2A-AS1;DLEU2;LINC00628;LINC01614;H19;DANCR;LINC01234;JPX;FBXL19-AS1;LINC00941;MALAT1;ZEB1-AS1;LINC01503;TPT1-AS1;FALEC;ASB16-AS1;DLEU1;LINC00857;LUCAT1;LINC00662;GAS8-AS1;SNHG5;CASC9;HULC;LINC00342;CCAT2;IRAIN;MRPL23-AS1;SNHG9;LINC00173;KRTAP5-AS1;TNRC6C-AS1;LINC00511;AFAP1-AS1;LINC00958;NEAT1;HOTAIR	0.261	6.97e-50	1.12e-49	5.58e-49	0.041	73/280	1572
recurrence	Cancer_Hallmark	LncACTdb	52	PVT1;SNHG1;SNHG16;MIR4435-2HG;ZFAS1;MNX1-AS1;CRNDE;SNHG12;SNHG6;SNHG20;SNHG3;CYTOR;SNHG4;GAS5;LINC00963;LINC00460;SNHG8;UCA1;PCAT6;MCM3AP-AS1;NORAD;LINC-PINT;TMPO-AS1;PCAT1;NKILA;DLEU2;H19;DANCR;LINC01234;LINC00630;MALAT1;ZEB1-AS1;CASC15;C10orf91;TPT1-AS1;TSPEAR-AS1;LINC00857;LUCAT1;SNHG5;DLX6-AS1;HULC;MIR31HG;CCAT2;LINC00173;FTX;TNRC6C-AS1;LINC00511;AFAP1-AS1;PCAT14;NEAT1;HOTAIR;LINC01980	0.335	3.97e-42	5.29e-42	3.18e-41	0.031	52/155	1572
autophagy	Cancer_Hallmark	LncACTdb	34	PVT1;SNHG15;SNHG1;SNHG16;ZFAS1;CRNDE;SNHG12;SNHG6;SNHG11;SNHG3;GAS5;SLCO4A1-AS1;LINC00963;LINC00460;SNHG8;UCA1;PRRT3-AS1;MCM3AP-AS1;DICER1-AS1;NKILA;H19;DANCR;MALAT1;GAS8-AS1;SNHG5;CASC9;BACE1-AS;HULC;CCAT2;TNRC6C-AS1;LINC00511;NEAT1;HOTAIR;DCST1-AS1	0.43	2.25e-32	2.57e-32	1.8e-31	0.021	34/79	1572
prognosis	Cancer_Hallmark	CRlncRNA	39	PVT1;SNHG15;SNHG1;ZFAS1;CRNDE;SNHG20;SNHG3;GAS5;TRPM2-AS;GAS6-AS1;LINC00346;SNHG10;UCA1;PCAT6;FEZF1-AS1;THUMPD3-AS1;AGAP2-AS1;LINC00115;TMPO-AS1;PCAT1;NKILA;LINC00628;H19;DANCR;GAPLINC;NFYC-AS1;MALAT1;CASC15;LINC00857;LUCAT1;ARRDC1-AS1;HULC;MIR31HG;CCAT2;CLMAT3;FTX;AFAP1-AS1;NEAT1;HOTAIR	0.295	1.52e-29	7.6e-29	7.6e-29	0.0234	39/132	1572
proliferation	Cancer_Hallmark	CRlncRNA	38	PVT1;SNHG15;SNHG1;ZFAS1;CRNDE;SNHG12;SNHG20;GAS5;LINC00963;MINCR;UCA1;PCAT6;FEZF1-AS1;AGAP2-AS1;PCAT1;DLEU2;LINC00628;H19;GAPLINC;MALAT1;ZEB1-AS1;LINC00467;CASC15;KRT7-AS;LINC00857;LUCAT1;GAS8-AS1;SNHG5;BACE1-AS;HULC;MIR31HG;CCAT2;IRAIN;CLMAT3;FTX;AFAP1-AS1;NEAT1;HOTAIR	0.257	2.42e-26	6.05e-26	1.21e-25	0.0226	38/148	1572
invasion	Cancer_Hallmark	CRlncRNA	27	PVT1;SNHG15;ZFAS1;CRNDE;SNHG20;GAS5;UCA1;FEZF1-AS1;MIR503HG;AGAP2-AS1;PCAT1;H19;DANCR;GAPLINC;MALAT1;CASC15;LINC00857;SNHG5;CASC9;BACE1-AS;HULC;MIR31HG;CCAT2;FTX;AFAP1-AS1;NEAT1;HOTAIR	0.314	1.12e-21	1.87e-21	5.6e-21	0.0166	27/86	1572
apoptosis	Cancer_Hallmark	CRlncRNA	23	PVT1;SNHG15;SNHG1;ZFAS1;CRNDE;SNHG12;GAS5;TRPM2-AS;LINC00963;UCA1;PCAT6;AGAP2-AS1;PCAT1;H19;MALAT1;LINC00467;HULC;MIR31HG;CCAT2;CLMAT3;AFAP1-AS1;NEAT1;HOTAIR	0.324	5.01e-19	6.26e-19	2.5e-18	0.0142	23/71	1572
migration	Cancer_Hallmark	CRlncRNA	23	PVT1;CRNDE;SNHG12;SNHG20;GAS5;LINC00963;UCA1;FEZF1-AS1;MIR503HG;AGAP2-AS1;PCAT1;LINC00628;H19;MALAT1;LINC00857;CASC9;HULC;MIR31HG;CCAT2;FTX;AFAP1-AS1;NEAT1;HOTAIR	0.237	1.09e-15	1.09e-15	5.45e-15	0.014	23/97	1572
immune	Cancer_Hallmark	LncACTdb	17	PVT1;SNHG15;SNHG16;GAS5;LINC00460;UCA1;PCAT6;H19;DANCR;GAPLINC;LINC01234;MALAT1;CASC9;HULC;LINC00958;NEAT1;HOTAIR	0.283	2.4e-13	2.4e-13	1.92e-12	0.0105	17/60	1572
