Protein	LncRNA
LIN28B	CASC15
LIN28B	CASC16
LIN28B	CASC8
LIN28B	CASC9
LIN28B	CASC19
LIN28B	CASC18
IGF2BP2	CASC15
IGF2BP2	CASC16
IGF2BP2	CASC8
IGF2BP2	CASC9
IGF2BP2	CASC19
IGF2BP2	CASC18
FIP1L1	CASC15
FIP1L1	CASC16
FIP1L1	CASC8
FIP1L1	CASC9
FIP1L1	CASC19
PABPC4	CASC16
PABPC4	CASC8
PABPC4	CASC9
PABPC4	CASC19
PABPC4	CASC18
HNRNPA1	CASC15
HNRNPA1	CASC16
HNRNPA1	CASC8
HNRNPA1	CASC9
HNRNPA1	CASC19
SRSF2	CASC16
SRSF2	CASC8
SRSF2	CASC9
SRSF2	CASC19
SRSF2	CASC18
MOV10	CASC15
MOV10	CASC16
MOV10	CASC8
MOV10	CASC9
MOV10	CASC18
KHDRBS3	CASC16
KHDRBS3	CASC8
KHDRBS3	CASC9
KHDRBS3	CASC19
KHDRBS3	CASC18
SFPQ	CASC16
SFPQ	CASC8
SFPQ	CASC9
SFPQ	CASC19
SFPQ	CASC18
MATR3	CASC8
MATR3	CASC9
MATR3	CASC19
MATR3	CASC18
CNBP	CASC15
CNBP	CASC8
CNBP	CASC9
CNBP	CASC18
RBM15B	CASC16
RBM15B	CASC8
RBM15B	CASC9
RBM15B	CASC19
RBM15B	CASC18
SRSF10	CASC16
SRSF10	CASC8
SRSF10	CASC9
SRSF10	CASC19
SRSF10	CASC18
U2AF2	CASC15
U2AF2	CASC8
U2AF2	CASC9
U2AF2	CASC19
U2AF2	CASC18
NUP42	CASC16
NUP42	CASC8
NUP42	CASC9
NUP42	CASC19
NUP42	CASC18
TIA1	CASC16
TIA1	CASC8
TIA1	CASC9
TIA1	CASC19
TIA1	CASC18
SRSF9	CASC16
SRSF9	CASC8
SRSF9	CASC9
SRSF9	CASC19
SRSF9	CASC18
RALY	CASC16
RALY	CASC9
RALY	CASC19
RALY	CASC18
CPEB2	CASC16
CPEB2	CASC8
CPEB2	CASC19
CPEB2	CASC18
CPEB4	CASC16
CPEB4	CASC8
CPEB4	CASC19
CPEB4	CASC18
RBMS2	CASC8
RBMS2	CASC9
RBMS2	CASC19
RBMS2	CASC18
QKI	CASC16
QKI	CASC8
QKI	CASC9
QKI	CASC19
RBM10	CASC15
RBM10	CASC16
RBM10	CASC9
RBM10	CASC19
DDX3X	CASC16
DDX3X	CASC8
DDX3X	CASC9
DDX3X	CASC19
RBM23	CASC16
RBM23	CASC9
RBM23	CASC19
RBM23	CASC18
RBMX	CASC16
RBMX	CASC8
RBMX	CASC9
CSTF2	CASC15
CSTF2	CASC8
CSTF2	CASC9
CSTF2	CASC19
HNRNPD	CASC15
HNRNPD	CASC9
HNRNPD	CASC19
HNRNPD	CASC18
SRSF11	CASC16
SRSF11	CASC8
SRSF11	CASC9
SRSF11	CASC19
NOVA1	CASC8
NOVA1	CASC9
NOVA1	CASC19
NOVA1	CASC18
SRSF5	CASC16
SRSF5	CASC8
SRSF5	CASC9
SRSF5	CASC19
IGF2BP1	CASC16
IGF2BP1	CASC8
IGF2BP1	CASC19
IGF2BP1	CASC18
TAF15	CASC15
TAF15	CASC8
TAF15	CASC9
TAF15	CASC19
A1CF	CASC8
A1CF	CASC9
A1CF	CASC19
A1CF	CASC18
PUF60	CASC16
PUF60	CASC8
PUF60	CASC19
PUF60	CASC18
HNRNPCL1	CASC16
HNRNPCL1	CASC8
HNRNPCL1	CASC19
HNRNPCL1	CASC18
LARP4	CASC16
LARP4	CASC8
LARP4	CASC19
TRNAU1AP	CASC16
TRNAU1AP	CASC8
TRNAU1AP	CASC9
TRNAU1AP	CASC19
KHDRBS2	CASC8
KHDRBS2	CASC9
KHDRBS2	CASC19
KHDRBS2	CASC18
CNOT4	CASC16
CNOT4	CASC8
CNOT4	CASC19
CNOT4	CASC18
TBRG4	CASC15
TBRG4	CASC9
TBRG4	CASC19
TRA2A	CASC8
TRA2A	CASC9
TRA2A	CASC19
TRA2A	CASC18
PPIG	CASC16
PPIG	CASC8
PPIG	CASC19
HNRNPK	CASC8
HNRNPK	CASC9
HNRNPK	CASC19
HNRNPK	CASC18
