gene	Type
CASC15	lncRNA
CASC16	lncRNA
CASC8	lncRNA
CASC9	lncRNA
CASC19	lncRNA
CASC18	lncRNA
LIN28B	protein
IGF2BP2	protein
FIP1L1	protein
PABPC4	protein
HNRNPA1	protein
SRSF2	protein
MOV10	protein
KHDRBS3	protein
SFPQ	protein
MATR3	protein
CNBP	protein
RBM15B	protein
SRSF10	protein
U2AF2	protein
NUP42	protein
TIA1	protein
SRSF9	protein
RALY	protein
CPEB2	protein
CPEB4	protein
RBMS2	protein
QKI	protein
RBM10	protein
DDX3X	protein
RBM23	protein
RBMX	protein
CSTF2	protein
HNRNPD	protein
SRSF11	protein
NOVA1	protein
SRSF5	protein
IGF2BP1	protein
TAF15	protein
A1CF	protein
PUF60	protein
HNRNPCL1	protein
LARP4	protein
TRNAU1AP	protein
KHDRBS2	protein
CNOT4	protein
TBRG4	protein
TRA2A	protein
PPIG	protein
HNRNPK	protein
