StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
TCGA-AA-3854-01	-1014.38263821168	151.945330803259	-862.43730740842	0.88773658854752
TCGA-CM-6169-01	970.066422252256	1594.04599221451	2564.11241446676	0.555884940796153
TCGA-D5-6530-01	-569.62017999611	1128.29282653467	558.672646538558	0.773156043553859
TCGA-AA-A00F-01	-426.777798521889	86.084744503176	-340.693054018713	0.849912341852897
TCGA-A6-5659-01	-524.266220851455	-101.477965101677	-625.744185953132	0.871209680699637
TCGA-AA-3494-01	-941.580656645237	251.177683071717	-690.402973573521	0.875829686467703
TCGA-AA-A029-01	-1430.25892695319	-203.685652487685	-1633.94457944087	0.934072675264832
TCGA-AD-6888-01	-2001.41902986783	-327.183736917218	-2328.60276678505	0.96556879267056
TCGA-DM-A28M-01	-1829.19194619838	-355.197418378768	-2184.38936457715	0.959845834388591
TCGA-DM-A1D0-01	-1785.18988272698	-827.3485107797	-2612.53839350668	0.975569694532369
TCGA-AA-3544-01	185.238817836348	1562.80867454227	1748.04749237862	0.651239038163682
TCGA-F4-6805-01	613.513122278525	1018.09564672524	1631.60876900376	0.66411382590995
TCGA-F4-6569-01	1188.2537289491	1089.95050346108	2278.20423241018	0.590271520613509
TCGA-CM-5863-01	134.054032733192	481.997639926004	616.051672659196	0.767786952353662
TCGA-AA-A01S-01	-1692.73739856058	-553.249079401346	-2245.98647796193	0.962343026881722
TCGA-CM-6168-01	829.156149384771	1152.88298316943	1982.0391325542	0.624794860727695
TCGA-AD-6548-01	-78.2617812321311	1007.14821907565	928.886437843521	0.737566405880711
TCGA-AA-A00D-01	-30.9438569103198	1645.23357571695	1614.28971880663	0.666012333201257
TCGA-CA-5255-01	-1635.32451401919	-338.582764292619	-1973.90727831181	0.950721837248651
TCGA-A6-4105-01	24.9106323512661	1109.74555297259	1134.65618532385	0.716836677339481
TCGA-D5-6529-01	458.081429373634	1446.10402343931	1904.18545281294	0.633676737422295
TCGA-AZ-6601-01	99.6511846735519	1389.05458261784	1488.70576729139	0.679649265523797
TCGA-G4-6306-01	-1872.03590979331	48.3592945902251	-1823.67661520309	0.943654082469319
TCGA-A6-A566-01	1598.35350308055	1748.02153126177	3346.37503434232	0.456982771701036
TCGA-AY-4070-01	-670.01123325698	389.159508259405	-280.851724997575	0.845251104294982
TCGA-AA-3522-01	-1104.33901943931	492.402162974034	-611.936856465273	0.870212935142032
TCGA-AA-3663-01	-863.041873728458	457.204625293246	-405.837248435213	0.854912072894036
TCGA-AA-3971-01	-609.474904114754	1047.1023980089	437.627493894141	0.78430217257924
TCGA-A6-2672-01	87.4993726906296	1819.03082830547	1906.5302009961	0.633410441532213
TCGA-A6-6780-01	-425.851629447478	1425.22112978779	999.369500340315	0.730540599784305
TCGA-CM-6162-01	1371.6816691696	1696.18326039461	3067.86492956421	0.492954395200145
TCGA-CK-6747-01	-625.308997365513	307.480149722626	-317.828847642887	0.848139095616924
TCGA-A6-4107-01	-105.557069587785	780.796664233345	675.23959464556	0.762191533728421
TCGA-AA-3675-01	-819.44008692132	188.909221095295	-630.530865826025	0.871554394021688
TCGA-F4-6703-01	1682.19512946244	2381.84273569404	4064.03786515648	0.360921222709221
